,0
0,537.33667
1,534.961975
2,547.214417
3,540.368225
4,531.096802
5,530.64209
6,538.688232
7,547.075378
8,547.492249
9,547.605896
10,547.567993
11,547.61853
12,547.656433
13,547.365906
14,547.176453
15,547.277527
16,547.391174
17,547.504883
18,547.959595
19,548.389038
20,539.913452
21,530.79364
22,530.124207
23,538.587219
24,547.454407
25,539.534546
26,530.88208
27,530.301025
28,538.486084
29,547.302734
30,539.408203
31,530.768372
32,530.338928
33,538.574585
34,547.454407
35,539.736633
36,531.058899
37,530.376831
38,538.422974
39,547.214355
40,539.521851
41,531.020996
42,530.591553
43,538.764038
44,547.454407
45,539.509277
46,530.503113
47,529.707336
48,538.347168
49,547.694336
50,539.812378
51,530.907349
52,530.490479
53,538.902954
54,547.012329
55,538.460876
56,530.4021
57,530.452576
58,538.536621
59,547.189087
60,539.610291
61,532.322021
62,533.33252
63,541.126099
64,548.666992
65,540.305054
66,530.806274
67,529.606323
68,538.347168
69,547.492249
70,539.382935
71,530.667358
72,530.338928
73,538.751404
74,547.669128
75,539.900818
76,531.046265
77,530.288391
78,538.435608
79,547.315369
80,539.648193
81,530.88208
82,530.237854
83,538.157715
84,546.595459
85,539.155579
86,530.919983
87,530.326294
88,538.448242
89,547.264893
90,539.572388
91,530.389465
92,529.252625
93,538.069336
94,547.40387
95,539.572449
96,531.058899
97,530.717834
98,538.928223
99,547.441711
100,539.307129
101,530.7052
102,530.515747
103,538.953491
104,547.669128
105,539.622986
106,531.020996
107,530.717834
108,538.486084
109,546.734375
110,539.45874
111,531.298889
112,530.578918
113,538.700867
114,547.580688
115,539.723999
116,530.389465
117,529.23999
118,538.031372
119,547.391174
120,539.534485
121,530.856812
122,530.263123
123,538.473511
124,547.391235
125,539.610352
126,530.844177
127,530.237854
128,538.498718
129,547.365906
130,539.433472
131,530.692566
132,530.351563
133,538.549316
134,547.125977
135,539.572449
136,531.134705
137,530.288391
138,538.397705
139,547.391174
140,539.69873
141,530.64209
142,529.795776
143,538.599792
144,547.530212
145,539.30719
146,530.79364
147,530.477844
148,538.738708
149,547.504883
150,539.420837
151,530.679993
152,530.376831
153,538.89032
154,547.744934
155,539.660828
156,530.957825
157,530.667358
158,538.915588
159,547.504883
160,539.660828
161,530.970459
162,530.351563
163,538.625061
164,547.49231
165,539.774536
166,530.831543
167,529.972595
168,538.523987
169,547.593262
170,539.521851
171,530.528381
172,530.149475
173,538.700867
174,547.429138
175,539.559814
176,531.109436
177,530.591553
178,538.574524
179,547.328003
180,539.610291
181,531.008362
182,530.351563
183,538.359802
184,547.290222
185,539.799805
186,531.084167
187,530.338928
188,538.763977
189,547.605896
190,539.357666
191,530.199951
192,529.682068
193,538.498779
194,547.568054
195,539.736633
196,531.12207
197,530.64209
198,538.839783
199,546.747009
200,538.170349
201,530.250488
202,530.275757
203,538.410339
204,547.302795
205,539.509277
206,530.945251
207,530.541016
208,538.751343
209,547.517517
210,539.572388
211,530.995728
212,530.806274
213,539.092468
214,547.808105
215,539.87561
216,531.109436
217,530.616821
218,538.763977
219,547.365906
220,539.357666
221,530.64209
222,529.644226
223,537.223022
224,545.85022
225,538.182983
226,530.275757
227,530.22522
228,538.372437
229,547.189087
230,539.572388
231,531.197876
232,530.604187
233,538.675598
234,547.593323
235,539.78717
236,530.995728
237,530.4021
238,538.574524
239,547.403809
240,539.585022
241,530.970459
242,530.667358
243,538.953491
244,547.64386
245,539.69873
246,530.932617
247,529.719971
248,537.235596
249,545.963806
250,538.182983
251,530.351563
252,530.717834
253,539.105103
254,547.808105
255,539.206116
256,529.783142
257,529.707336
258,538.637695
259,547.504883
260,539.635559
261,531.197876
262,530.768372
263,538.865051
264,547.605957
265,539.585083
266,530.88208
267,530.528381
268,538.789246
269,547.429077
270,539.420837
271,530.983093
272,530.351563
273,538.006165
274,546.835449
275,539.382935
276,530.945251
277,530.566284
278,538.966125
279,547.744873
280,538.940857
281,529.517883
282,529.896851
283,538.940857
284,547.568054
285,539.585083
286,530.88208
287,530.364197
288,538.675598
289,547.504883
290,539.749268
291,531.071533
292,530.389465
293,538.675598
294,547.631226
295,539.610352
296,530.781006
297,530.301025
298,538.523987
299,547.441711
300,539.736633
301,531.159973
302,530.79364
303,538.284058
304,546.128113
305,538.587158
306,530.46521
307,530.414734
308,538.902954
309,547.530151
310,539.723999
311,530.55365
312,529.391541
313,538.258789
314,547.656494
315,539.774536
316,531.159973
317,530.591553
318,538.814514
319,547.656433
320,539.69873
321,531.020996
322,530.654724
323,538.827209
324,547.479675
325,539.673462
326,531.046265
327,530.55365
328,538.713501
329,547.454346
330,539.799744
331,531.071533
332,530.490479
333,538.953491
334,547.656494
335,539.521912
336,530.503113
337,529.669434
338,538.107178
339,547.201721
340,539.395569
341,530.932617
342,530.692566
343,538.865051
344,547.542847
345,539.825073
346,531.084167
347,530.4021
348,538.751343
349,547.605896
350,539.749268
351,530.932617
352,530.162048
353,538.347168
354,547.277588
355,539.660828
356,531.020996
357,530.439941
358,538.763977
359,547.605896
360,539.673462
361,530.768372
362,530.111572
363,538.561951
364,547.580688
365,539.69873
366,530.983093
367,529.833679
368,537.222961
369,545.786987
370,537.892456
371,529.871582
372,530.124207
373,538.599792
374,547.504944
375,539.686096
376,531.071533
377,530.578918
378,538.865051
379,547.479614
380,539.269226
381,530.604187
382,530.427368
383,538.89032
384,547.782837
385,539.976624
386,531.210449
387,530.591553
388,538.662964
389,547.353271
390,539.711365
391,531.008362
392,529.56842
393,537.09668
394,545.926025
395,538.220886
396,530.31366
397,530.490479
398,538.789246
399,547.555359
400,539.736633
401,531.084167
402,530.389465
403,538.612427
404,547.517578
405,539.559814
406,530.970459
407,530.730469
408,539.003967
409,547.782776
410,539.938721
411,531.134705
412,530.515747
413,538.776672
414,547.631226
415,539.774536
416,531.020996
417,529.909424
418,537.513489
419,546.342773
420,538.65033
421,530.477844
422,530.301025
423,538.599854
424,547.719666
425,539.938721
426,531.084167
427,530.4021
428,538.662964
429,547.580627
430,539.926086
431,531.564148
432,531.096802
433,539.041931
434,547.454407
435,539.395569
436,530.679993
437,530.111572
438,538.372437
439,547.315369
440,539.673462
441,531.159973
442,530.250488
443,537.980896
444,546.885986
445,539.155579
446,530.477844
447,530.149475
448,538.776611
449,547.984863
450,539.357666
451,529.492615
452,529.631592
453,538.865051
454,547.694397
455,539.736633
456,531.058899
457,530.578918
458,538.80188
459,547.555359
460,539.723999
461,531.134705
462,530.528381
463,538.612427
464,547.264954
465,539.244019
466,530.578918
467,529.972595
468,538.132446
469,547.264893
470,539.749268
471,531.223083
472,530.730469
473,538.953491
474,547.707031
475,539.244019
476,529.909424
477,529.833679
478,538.726074
479,547.643799
480,539.850281
481,531.324158
482,530.907349
483,538.940857
484,547.441772
485,539.521912
486,530.919983
487,530.263123
488,538.334534
489,547.214355
490,539.382935
491,530.907349
492,530.781006
493,539.079834
494,547.694397
495,539.686096
496,531.058899
497,530.578918
498,537.917725
499,545.938599
